Directory,Paths,Emotions,Age,Sex,Question,Colors,Type
1,G:\Baza_danych\nagrania\output\1\music\001.wav,happy,26,female,no,"(251, 136, 2)",music
1,G:\Baza_danych\nagrania\output\1\music\002.wav,disgust,26,female,no,"(82, 26, 99)",music
1,G:\Baza_danych\nagrania\output\1\music\002.wav,disgust,26,female,no,"(149, 47, 180)",music
1,G:\Baza_danych\nagrania\output\1\music\002.wav,disgust,26,female,no,"(136, 0, 10)",music
1,G:\Baza_danych\nagrania\output\1\music\003.wav,neutral,26,female,no,"(214, 244, 246)",music
1,G:\Baza_danych\nagrania\output\1\music\003.wav,neutral,26,female,no,"(130, 157, 228)",music
1,G:\Baza_danych\nagrania\output\1\music\003.wav,neutral,26,female,no,"(46, 91, 210)",music
1,G:\Baza_danych\nagrania\output\1\music\004.wav,sad,26,female,no,"(136, 0, 10)",music
1,G:\Baza_danych\nagrania\output\1\music\004.wav,sad,26,female,no,"(149, 47, 180)",music
1,G:\Baza_danych\nagrania\output\1\music\004.wav,sad,26,female,no,"(251, 136, 2)",music
1,G:\Baza_danych\nagrania\output\1\music\005.wav,fear,26,female,no,"(46, 186, 210)",music
1,G:\Baza_danych\nagrania\output\1\music\005.wav,fear,26,female,no,"(251, 136, 2)",music
2,G:\Baza_danych\nagrania\output\2\speech\001.wav,angry,36,female,no,"(253, 212, 1)",speech
2,G:\Baza_danych\nagrania\output\2\speech\001.wav,angry,36,female,no,"(238, 0, 18)",speech
2,G:\Baza_danych\nagrania\output\2\speech\001.wav,angry,36,female,no,"(238, 0, 18)",speech
2,G:\Baza_danych\nagrania\output\2\speech\002.wav,disgust,36,female,no,"(253, 212, 1)",speech
2,G:\Baza_danych\nagrania\output\2\speech\002.wav,disgust,36,female,no,"(161, 217, 121)",speech
2,G:\Baza_danych\nagrania\output\2\speech\002.wav,disgust,36,female,no,"(107, 184, 52)",speech
2,G:\Baza_danych\nagrania\output\2\speech\003.wav,fear,36,female,no,"(149, 47, 180)",speech
2,G:\Baza_danych\nagrania\output\2\speech\003.wav,fear,36,female,no,"(228, 192, 239)",speech
2,G:\Baza_danych\nagrania\output\2\speech\003.wav,fear,36,female,no,"(46, 91, 210)",speech
2,G:\Baza_danych\nagrania\output\2\speech\004.wav,fear,36,female,no,"(255, 233, 123)",speech
2,G:\Baza_danych\nagrania\output\2\speech\004.wav,fear,36,female,no,"(214, 244, 246)",speech
2,G:\Baza_danych\nagrania\output\2\speech\004.wav,fear,36,female,no,"(28, 111, 126)",speech
2,G:\Baza_danych\nagrania\output\2\speech\005.wav,angry,36,female,no,"(61, 105, 30)",speech
2,G:\Baza_danych\nagrania\output\2\speech\005.wav,angry,36,female,no,"(28, 111, 126)",speech
2,G:\Baza_danych\nagrania\output\2\speech\005.wav,angry,36,female,no,"(28, 55, 126)",speech
2,G:\Baza_danych\nagrania\output\2\speech\006.wav,angry,36,female,no,"(61, 105, 30)",speech
2,G:\Baza_danych\nagrania\output\2\speech\006.wav,angry,36,female,no,"(118, 118, 118)",speech
2,G:\Baza_danych\nagrania\output\2\speech\006.wav,angry,36,female,no,"(118, 118, 118)",speech
2,G:\Baza_danych\nagrania\output\2\music\001.wav,happy,36,female,no,"(255, 233, 123)",music
2,G:\Baza_danych\nagrania\output\2\music\001.wav,happy,36,female,no,"(254, 183, 101)",music
2,G:\Baza_danych\nagrania\output\2\music\002.wav,happy,36,female,no,"(107, 184, 52)",music
2,G:\Baza_danych\nagrania\output\2\music\002.wav,happy,36,female,no,"(130, 213, 228)",music
2,G:\Baza_danych\nagrania\output\2\music\003.wav,angry,36,female,no,"(28, 55, 126)",music
2,G:\Baza_danych\nagrania\output\2\music\003.wav,angry,36,female,no,"(82, 26, 99)",music
2,G:\Baza_danych\nagrania\output\2\music\004.wav,sad,36,female,no,"(255, 246, 203)",music
2,G:\Baza_danych\nagrania\output\2\music\004.wav,sad,36,female,no,"(28, 55, 126)",music
2,G:\Baza_danych\nagrania\output\2\music\004.wav,sad,36,female,no,"(28, 55, 126)",music
2,G:\Baza_danych\nagrania\output\2\music\005.wav,fear,36,female,no,"(206, 129, 230)",music
2,G:\Baza_danych\nagrania\output\2\music\005.wav,fear,36,female,no,"(228, 192, 239)",music
3,G:\Baza_danych\nagrania\output\3\speech\001.wav,happy,26,man,no,"(255, 233, 123)",speech
3,G:\Baza_danych\nagrania\output\3\speech\001.wav,happy,26,man,no,"(251, 136, 2)",speech
3,G:\Baza_danych\nagrania\output\3\speech\001.wav,happy,26,man,no,"(254, 183, 101)",speech
3,G:\Baza_danych\nagrania\output\3\speech\002.wav,angry,26,man,no,"(118, 118, 118)",speech
3,G:\Baza_danych\nagrania\output\3\speech\002.wav,angry,26,man,no,"(136, 0, 10)",speech
3,G:\Baza_danych\nagrania\output\3\speech\003.wav,neutral,26,man,no,"(183, 183, 183)",speech
3,G:\Baza_danych\nagrania\output\3\speech\003.wav,neutral,26,man,no,"(214, 244, 246)",speech
3,G:\Baza_danych\nagrania\output\3\speech\004.wav,sad,26,man,no,"(61, 105, 30)",speech
3,G:\Baza_danych\nagrania\output\3\speech\004.wav,sad,26,man,no,"(0, 0, 0)",speech
3,G:\Baza_danych\nagrania\output\3\speech\004.wav,sad,26,man,no,"(28, 55, 126)",speech
3,G:\Baza_danych\nagrania\output\3\speech\005.wav,disgust,26,man,no,"(151, 127, 1)",speech
3,G:\Baza_danych\nagrania\output\3\speech\006.wav,disgust,26,man,no,"(151, 127, 1)",speech
3,G:\Baza_danych\nagrania\output\3\speech\006.wav,disgust,26,man,no,"(150, 81, 1)",speech
3,G:\Baza_danych\nagrania\output\3\music\001.wav,happy,26,man,no,"(255, 233, 123)",music
3,G:\Baza_danych\nagrania\output\3\music\001.wav,happy,26,man,no,"(228, 192, 239)",music
3,G:\Baza_danych\nagrania\output\3\music\001.wav,happy,26,man,no,"(253, 212, 1)",music
3,G:\Baza_danych\nagrania\output\3\music\002.wav,fear,26,man,no,"(82, 26, 99)",music
3,G:\Baza_danych\nagrania\output\3\music\002.wav,fear,26,man,no,"(136, 0, 10)",music
3,G:\Baza_danych\nagrania\output\3\music\002.wav,fear,26,man,no,"(28, 55, 126)",music
3,G:\Baza_danych\nagrania\output\3\music\003.wav,neutral,26,man,no,"(214, 244, 246)",music
3,G:\Baza_danych\nagrania\output\3\music\003.wav,neutral,26,man,no,"(247, 247, 247)",music
3,G:\Baza_danych\nagrania\output\3\music\004.wav,happy,26,man,no,"(255, 233, 123)",music
3,G:\Baza_danych\nagrania\output\3\music\004.wav,happy,26,man,no,"(253, 212, 1)",music
3,G:\Baza_danych\nagrania\output\3\music\005.wav,fear,26,man,no,"(46, 91, 210)",music
3,G:\Baza_danych\nagrania\output\3\music\005.wav,fear,26,man,no,"(118, 118, 118)",music
3,G:\Baza_danych\nagrania\output\3\music\005.wav,fear,26,man,no,"(130, 213, 228)",music
4,G:\Baza_danych\nagrania\output\4\speech\001.wav,neutral,26,man,no,"(183, 183, 183)",speech
4,G:\Baza_danych\nagrania\output\4\speech\001.wav,neutral,26,man,no,"(118, 118, 118)",speech
4,G:\Baza_danych\nagrania\output\4\speech\001.wav,neutral,26,man,no,"(247, 247, 247)",speech
4,G:\Baza_danych\nagrania\output\4\speech\002.wav,angry,26,man,no,"(255, 187, 192)",speech
4,G:\Baza_danych\nagrania\output\4\speech\002.wav,angry,26,man,no,"(250, 101, 113)",speech
4,G:\Baza_danych\nagrania\output\4\speech\002.wav,angry,26,man,no,"(238, 0, 18)",speech
4,G:\Baza_danych\nagrania\output\4\speech\003.wav,angry,26,man,no,"(238, 0, 18)",speech
4,G:\Baza_danych\nagrania\output\4\speech\003.wav,angry,26,man,no,"(238, 0, 18)",speech
4,G:\Baza_danych\nagrania\output\4\speech\003.wav,angry,26,man,no,"(238, 0, 18)",speech
4,G:\Baza_danych\nagrania\output\4\speech\004.wav,disgust,26,man,no,"(107, 184, 52)",speech
4,G:\Baza_danych\nagrania\output\4\speech\004.wav,disgust,26,man,no,"(61, 105, 30)",speech
4,G:\Baza_danych\nagrania\output\4\speech\005.wav,neutral,26,man,no,"(183, 183, 183)",speech
4,G:\Baza_danych\nagrania\output\4\speech\006.wav,neutral,26,man,no,"(107, 184, 52)",speech
4,G:\Baza_danych\nagrania\output\4\music\001.wav,happy,26,man,no,"(253, 212, 1)",music
4,G:\Baza_danych\nagrania\output\4\music\002.wav,neutral,26,man,no,"(118, 118, 118)",music
4,G:\Baza_danych\nagrania\output\4\music\003.wav,neutral,26,man,no,"(118, 118, 118)",music
4,G:\Baza_danych\nagrania\output\4\music\004.wav,neutral,26,man,no,"(118, 118, 118)",music
4,G:\Baza_danych\nagrania\output\4\music\005.wav,neutral,26,man,no,"(118, 118, 118)",music
5,G:\Baza_danych\nagrania\output\5\speech\001.wav,disgust,26,female,no,"(151, 127, 1)",speech
5,G:\Baza_danych\nagrania\output\5\speech\001.wav,disgust,26,female,no,"(118, 118, 118)",speech
5,G:\Baza_danych\nagrania\output\5\speech\001.wav,disgust,26,female,no,"(150, 81, 1)",speech
5,G:\Baza_danych\nagrania\output\5\speech\002.wav,angry,26,female,no,"(251, 136, 2)",speech
5,G:\Baza_danych\nagrania\output\5\speech\002.wav,angry,26,female,no,"(238, 0, 18)",speech
5,G:\Baza_danych\nagrania\output\5\speech\003.wav,neutral,26,female,no,"(255, 246, 203)",speech
5,G:\Baza_danych\nagrania\output\5\speech\003.wav,neutral,26,female,no,"(217, 240, 201)",speech
5,G:\Baza_danych\nagrania\output\5\speech\003.wav,neutral,26,female,no,"(247, 247, 247)",speech
5,G:\Baza_danych\nagrania\output\5\speech\004.wav,sad,26,female,no,"(183, 183, 183)",speech
5,G:\Baza_danych\nagrania\output\5\speech\004.wav,sad,26,female,no,"(28, 55, 126)",speech
5,G:\Baza_danych\nagrania\output\5\speech\004.wav,sad,26,female,no,"(228, 192, 239)",speech
5,G:\Baza_danych\nagrania\output\5\speech\005.wav,neutral,26,female,no,"(183, 183, 183)",speech
5,G:\Baza_danych\nagrania\output\5\speech\005.wav,neutral,26,female,no,"(247, 247, 247)",speech
5,G:\Baza_danych\nagrania\output\5\speech\005.wav,neutral,26,female,no,"(118, 118, 118)",speech
5,G:\Baza_danych\nagrania\output\5\speech\006.wav,neutral,26,female,no,"(136, 0, 10)",speech
5,G:\Baza_danych\nagrania\output\5\speech\006.wav,neutral,26,female,no,"(82, 26, 99)",speech
5,G:\Baza_danych\nagrania\output\5\speech\006.wav,neutral,26,female,no,"(238, 0, 18)",speech
5,G:\Baza_danych\nagrania\output\5\music\001.wav,neutral,26,female,no,"(251, 136, 2)",music
5,G:\Baza_danych\nagrania\output\5\music\001.wav,neutral,26,female,no,"(150, 81, 1)",music
5,G:\Baza_danych\nagrania\output\5\music\001.wav,neutral,26,female,no,"(107, 184, 52)",music
5,G:\Baza_danych\nagrania\output\5\music\002.wav,angry,26,female,no,"(136, 0, 10)",music
5,G:\Baza_danych\nagrania\output\5\music\002.wav,angry,26,female,no,"(82, 26, 99)",music
5,G:\Baza_danych\nagrania\output\5\music\002.wav,angry,26,female,no,"(238, 0, 18)",music
5,G:\Baza_danych\nagrania\output\5\music\003.wav,sad,26,female,no,"(130, 213, 228)",music
5,G:\Baza_danych\nagrania\output\5\music\003.wav,sad,26,female,no,"(214, 223, 246)",music
5,G:\Baza_danych\nagrania\output\5\music\003.wav,sad,26,female,no,"(130, 157, 228)",music
5,G:\Baza_danych\nagrania\output\5\music\004.wav,neutral,26,female,no,"(28, 111, 126)",music
5,G:\Baza_danych\nagrania\output\5\music\004.wav,neutral,26,female,no,"(150, 81, 1)",music
5,G:\Baza_danych\nagrania\output\5\music\004.wav,neutral,26,female,no,"(183, 183, 183)",music
5,G:\Baza_danych\nagrania\output\5\music\005.wav,fear,26,female,no,"(118, 118, 118)",music
5,G:\Baza_danych\nagrania\output\5\music\005.wav,fear,26,female,no,"(136, 0, 10)",music
5,G:\Baza_danych\nagrania\output\5\music\005.wav,fear,26,female,no,"(0, 0, 0)",music
6,G:\Baza_danych\nagrania\output\6\speech\001.wav,angry,26,female,no,"(136, 0, 10)",speech
6,G:\Baza_danych\nagrania\output\6\speech\001.wav,angry,26,female,no,"(238, 0, 18)",speech
6,G:\Baza_danych\nagrania\output\6\speech\001.wav,angry,26,female,no,"(238, 0, 18)",speech
6,G:\Baza_danych\nagrania\output\6\speech\002.wav,disgust,26,female,no,"(150, 81, 1)",speech
6,G:\Baza_danych\nagrania\output\6\speech\002.wav,disgust,26,female,no,"(61, 105, 30)",speech
6,G:\Baza_danych\nagrania\output\6\speech\002.wav,disgust,26,female,no,"(151, 127, 1)",speech
6,G:\Baza_danych\nagrania\output\6\speech\003.wav,disgust,26,female,no,"(150, 81, 1)",speech
6,G:\Baza_danych\nagrania\output\6\speech\003.wav,disgust,26,female,no,"(118, 118, 118)",speech
6,G:\Baza_danych\nagrania\output\6\speech\003.wav,disgust,26,female,no,"(151, 127, 1)",speech
6,G:\Baza_danych\nagrania\output\6\speech\004.wav,sad,26,female,no,"(118, 118, 118)",speech
6,G:\Baza_danych\nagrania\output\6\speech\004.wav,sad,26,female,no,"(82, 26, 99)",speech
6,G:\Baza_danych\nagrania\output\6\speech\004.wav,sad,26,female,no,"(28, 111, 126)",speech
6,G:\Baza_danych\nagrania\output\6\speech\005.wav,fear,26,female,no,"(118, 118, 118)",speech
6,G:\Baza_danych\nagrania\output\6\speech\005.wav,fear,26,female,no,"(82, 26, 99)",speech
6,G:\Baza_danych\nagrania\output\6\speech\005.wav,fear,26,female,no,"(0, 0, 0)",speech
6,G:\Baza_danych\nagrania\output\6\speech\006.wav,fear,26,female,no,"(183, 183, 183)",speech
6,G:\Baza_danych\nagrania\output\6\speech\006.wav,fear,26,female,no,"(118, 118, 118)",speech
6,G:\Baza_danych\nagrania\output\6\music\001.wav,neutral,26,female,no,"(183, 183, 183)",music
6,G:\Baza_danych\nagrania\output\6\music\001.wav,neutral,26,female,no,"(214, 223, 246)",music
6,G:\Baza_danych\nagrania\output\6\music\001.wav,neutral,26,female,no,"(118, 118, 118)",music
6,G:\Baza_danych\nagrania\output\6\music\002.wav,happy,26,female,no,"(253, 212, 1)",music
6,G:\Baza_danych\nagrania\output\6\music\002.wav,happy,26,female,no,"(238, 0, 18)",music
6,G:\Baza_danych\nagrania\output\6\music\002.wav,happy,26,female,no,"(251, 136, 2)",music
6,G:\Baza_danych\nagrania\output\6\music\003.wav,sad,26,female,no,"(28, 55, 126)",music
6,G:\Baza_danych\nagrania\output\6\music\003.wav,sad,26,female,no,"(118, 118, 118)",music
6,G:\Baza_danych\nagrania\output\6\music\003.wav,sad,26,female,no,"(28, 111, 126)",music
6,G:\Baza_danych\nagrania\output\6\music\004.wav,neutral,26,female,no,"(247, 247, 247)",music
6,G:\Baza_danych\nagrania\output\6\music\004.wav,neutral,26,female,no,"(214, 244, 246)",music
6,G:\Baza_danych\nagrania\output\6\music\004.wav,neutral,26,female,no,"(183, 183, 183)",music
6,G:\Baza_danych\nagrania\output\6\music\005.wav,fear,26,female,no,"(28, 55, 126)",music
6,G:\Baza_danych\nagrania\output\6\music\005.wav,fear,26,female,no,"(82, 26, 99)",music
6,G:\Baza_danych\nagrania\output\6\music\005.wav,fear,26,female,no,"(0, 0, 0)",music
7,G:\Baza_danych\nagrania\output\7\speech\001.wav,disgust,26,female,no,"(151, 127, 1)",speech
7,G:\Baza_danych\nagrania\output\7\speech\001.wav,disgust,26,female,no,"(118, 118, 118)",speech
7,G:\Baza_danych\nagrania\output\7\speech\001.wav,disgust,26,female,no,"(150, 81, 1)",speech
7,G:\Baza_danych\nagrania\output\7\speech\002.wav,angry,26,female,no,"(136, 0, 10)",speech
7,G:\Baza_danych\nagrania\output\7\speech\002.wav,angry,26,female,no,"(82, 26, 99)",speech
7,G:\Baza_danych\nagrania\output\7\speech\002.wav,angry,26,female,no,"(238, 0, 18)",speech
7,G:\Baza_danych\nagrania\output\7\speech\003.wav,neutral,26,female,no,"(183, 183, 183)",speech
7,G:\Baza_danych\nagrania\output\7\speech\003.wav,neutral,26,female,no,"(217, 240, 201)",speech
7,G:\Baza_danych\nagrania\output\7\speech\003.wav,neutral,26,female,no,"(247, 247, 247)",speech
7,G:\Baza_danych\nagrania\output\7\speech\004.wav,neutral,26,female,no,"(183, 183, 183)",speech
7,G:\Baza_danych\nagrania\output\7\speech\004.wav,neutral,26,female,no,"(217, 240, 201)",speech
7,G:\Baza_danych\nagrania\output\7\speech\004.wav,neutral,26,female,no,"(247, 247, 247)",speech
7,G:\Baza_danych\nagrania\output\7\speech\005.wav,fear,26,female,no,"(118, 118, 118)",speech
7,G:\Baza_danych\nagrania\output\7\speech\005.wav,fear,26,female,no,"(28, 55, 126)",speech
7,G:\Baza_danych\nagrania\output\7\speech\005.wav,fear,26,female,no,"(0, 0, 0)",speech
7,G:\Baza_danych\nagrania\output\7\speech\006.wav,fear,26,female,no,"(217, 240, 201)",speech
7,G:\Baza_danych\nagrania\output\7\speech\006.wav,fear,26,female,no,"(214, 223, 246)",speech
7,G:\Baza_danych\nagrania\output\7\speech\006.wav,fear,26,female,no,"(247, 247, 247)",speech
7,G:\Baza_danych\nagrania\output\7\music\001.wav,fear,26,female,no,"(118, 118, 118)",music
7,G:\Baza_danych\nagrania\output\7\music\001.wav,fear,26,female,no,"(82, 26, 99)",music
7,G:\Baza_danych\nagrania\output\7\music\001.wav,fear,26,female,no,"(0, 0, 0)",music
7,G:\Baza_danych\nagrania\output\7\music\002.wav,angry,26,female,no,"(82, 26, 99)",music
7,G:\Baza_danych\nagrania\output\7\music\002.wav,angry,26,female,no,"(136, 0, 10)",music
7,G:\Baza_danych\nagrania\output\7\music\002.wav,angry,26,female,no,"(238, 0, 18)",music
7,G:\Baza_danych\nagrania\output\7\music\003.wav,disgust,26,female,no,"(150, 81, 1)",music
7,G:\Baza_danych\nagrania\output\7\music\003.wav,disgust,26,female,no,"(151, 127, 1)",music
7,G:\Baza_danych\nagrania\output\7\music\003.wav,disgust,26,female,no,"(118, 118, 118)",music
7,G:\Baza_danych\nagrania\output\7\music\004.wav,sad,26,female,no,"(46, 91, 210)",music
7,G:\Baza_danych\nagrania\output\7\music\004.wav,sad,26,female,no,"(28, 111, 126)",music
7,G:\Baza_danych\nagrania\output\7\music\004.wav,sad,26,female,no,"(28, 55, 126)",music
7,G:\Baza_danych\nagrania\output\7\music\005.wav,fear,26,female,no,"(0, 0, 0)",music
7,G:\Baza_danych\nagrania\output\7\music\005.wav,fear,26,female,no,"(28, 55, 126)",music
7,G:\Baza_danych\nagrania\output\7\music\005.wav,fear,26,female,no,"(118, 118, 118)",music
8,G:\Baza_danych\nagrania\output\8\speech\001.wav,angry,36,female,no,"(251, 136, 2)",speech
8,G:\Baza_danych\nagrania\output\8\speech\001.wav,angry,36,female,no,"(238, 0, 18)",speech
8,G:\Baza_danych\nagrania\output\8\speech\002.wav,disgust,36,female,no,"(118, 118, 118)",speech
8,G:\Baza_danych\nagrania\output\8\speech\003.wav,neutral,36,female,no,"(107, 184, 52)",speech
8,G:\Baza_danych\nagrania\output\8\speech\004.wav,neutral,36,female,no,"(107, 184, 52)",speech
8,G:\Baza_danych\nagrania\output\8\speech\004.wav,neutral,36,female,no,"(46, 186, 210)",speech
8,G:\Baza_danych\nagrania\output\8\speech\005.wav,fear,36,female,no,"(149, 47, 180)",speech
8,G:\Baza_danych\nagrania\output\8\speech\005.wav,fear,36,female,no,"(238, 0, 18)",speech
8,G:\Baza_danych\nagrania\output\8\speech\006.wav,fear,36,female,no,"(118, 118, 118)",speech
8,G:\Baza_danych\nagrania\output\8\music\001.wav,happy,36,female,no,"(253, 212, 1)",music
8,G:\Baza_danych\nagrania\output\8\music\002.wav,fear,36,female,no,"(238, 0, 18)",music
8,G:\Baza_danych\nagrania\output\8\music\003.wav,sad,36,female,no,"(46, 186, 210)",music
8,G:\Baza_danych\nagrania\output\8\music\003.wav,sad,36,female,no,"(118, 118, 118)",music
8,G:\Baza_danych\nagrania\output\8\music\003.wav,sad,36,female,no,"(46, 91, 210)",music
8,G:\Baza_danych\nagrania\output\8\music\004.wav,sad,36,female,no,"(46, 186, 210)",music
8,G:\Baza_danych\nagrania\output\8\music\004.wav,sad,36,female,no,"(118, 118, 118)",music
8,G:\Baza_danych\nagrania\output\8\music\004.wav,sad,36,female,no,"(46, 91, 210)",music
8,G:\Baza_danych\nagrania\output\8\music\005.wav,angry,36,female,no,"(238, 0, 18)",music
9,G:\Baza_danych\nagrania\output\9\speech\001.wav,neutral,56,female,no,"(149, 47, 180)",speech
9,G:\Baza_danych\nagrania\output\9\speech\001.wav,neutral,56,female,no,"(107, 184, 52)",speech
9,G:\Baza_danych\nagrania\output\9\speech\001.wav,neutral,56,female,no,"(46, 91, 210)",speech
9,G:\Baza_danych\nagrania\output\9\speech\002.wav,happy,56,female,no,"(251, 136, 2)",speech
9,G:\Baza_danych\nagrania\output\9\speech\002.wav,happy,56,female,no,"(238, 0, 18)",speech
9,G:\Baza_danych\nagrania\output\9\speech\002.wav,happy,56,female,no,"(253, 212, 1)",speech
9,G:\Baza_danych\nagrania\output\9\speech\003.wav,fear,56,female,no,"(149, 47, 180)",speech
9,G:\Baza_danych\nagrania\output\9\speech\003.wav,fear,56,female,no,"(118, 118, 118)",speech
9,G:\Baza_danych\nagrania\output\9\speech\003.wav,fear,56,female,no,"(238, 0, 18)",speech
9,G:\Baza_danych\nagrania\output\9\speech\004.wav,disgust,56,female,no,"(46, 91, 210)",speech
9,G:\Baza_danych\nagrania\output\9\speech\004.wav,disgust,56,female,no,"(107, 184, 52)",speech
9,G:\Baza_danych\nagrania\output\9\speech\004.wav,disgust,56,female,no,"(46, 186, 210)",speech
9,G:\Baza_danych\nagrania\output\9\speech\005.wav,neutral,56,female,no,"(253, 212, 1)",speech
9,G:\Baza_danych\nagrania\output\9\speech\006.wav,neutral,56,female,no,"(251, 136, 2)",speech
9,G:\Baza_danych\nagrania\output\9\speech\006.wav,neutral,56,female,no,"(107, 184, 52)",speech
9,G:\Baza_danych\nagrania\output\9\speech\006.wav,neutral,56,female,no,"(253, 212, 1)",speech
9,G:\Baza_danych\nagrania\output\9\music\001.wav,neutral,56,female,no,"(253, 212, 1)",music
9,G:\Baza_danych\nagrania\output\9\music\002.wav,happy,56,female,no,"(253, 212, 1)",music
9,G:\Baza_danych\nagrania\output\9\music\002.wav,happy,56,female,no,"(238, 0, 18)",music
9,G:\Baza_danych\nagrania\output\9\music\002.wav,happy,56,female,no,"(251, 136, 2)",music
9,G:\Baza_danych\nagrania\output\9\music\003.wav,neutral,56,female,no,"(46, 91, 210)",music
9,G:\Baza_danych\nagrania\output\9\music\003.wav,neutral,56,female,no,"(149, 47, 180)",music
9,G:\Baza_danych\nagrania\output\9\music\003.wav,neutral,56,female,no,"(46, 186, 210)",music
9,G:\Baza_danych\nagrania\output\9\music\004.wav,happy,56,female,no,"(238, 0, 18)",music
9,G:\Baza_danych\nagrania\output\9\music\004.wav,happy,56,female,no,"(253, 212, 1)",music
9,G:\Baza_danych\nagrania\output\9\music\004.wav,happy,56,female,no,"(253, 212, 1)",music
9,G:\Baza_danych\nagrania\output\9\music\005.wav,fear,56,female,no,"(46, 186, 210)",music
9,G:\Baza_danych\nagrania\output\9\music\005.wav,fear,56,female,no,"(46, 91, 210)",music
9,G:\Baza_danych\nagrania\output\9\music\005.wav,fear,56,female,no,"(118, 118, 118)",music
10,G:\Baza_danych\nagrania\output\10\speech\001.wav,neutral,26,man,no,"(46, 91, 210)",speech
10,G:\Baza_danych\nagrania\output\10\speech\001.wav,neutral,26,man,no,"(136, 0, 10)",speech
10,G:\Baza_danych\nagrania\output\10\speech\002.wav,happy,26,man,no,"(253, 212, 1)",speech
10,G:\Baza_danych\nagrania\output\10\speech\002.wav,happy,26,man,no,"(251, 136, 2)",speech
10,G:\Baza_danych\nagrania\output\10\speech\002.wav,happy,26,man,no,"(107, 184, 52)",speech
10,G:\Baza_danych\nagrania\output\10\speech\003.wav,neutral,26,man,no,"(0, 0, 0)",speech
10,G:\Baza_danych\nagrania\output\10\speech\003.wav,neutral,26,man,no,"(118, 118, 118)",speech
10,G:\Baza_danych\nagrania\output\10\speech\004.wav,sad,26,man,no,"(130, 157, 228)",speech
10,G:\Baza_danych\nagrania\output\10\speech\004.wav,sad,26,man,no,"(149, 47, 180)",speech
10,G:\Baza_danych\nagrania\output\10\speech\004.wav,sad,26,man,no,"(46, 186, 210)",speech
10,G:\Baza_danych\nagrania\output\10\speech\005.wav,fear,26,man,no,"(46, 91, 210)",speech
10,G:\Baza_danych\nagrania\output\10\speech\006.wav,fear,26,man,no,"(217, 240, 201)",speech
10,G:\Baza_danych\nagrania\output\10\music\001.wav,neutral,26,man,no,"(255, 246, 203)",music
10,G:\Baza_danych\nagrania\output\10\music\002.wav,happy,26,man,no,"(251, 136, 2)",music
10,G:\Baza_danych\nagrania\output\10\music\003.wav,sad,26,man,no,"(46, 186, 210)",music
10,G:\Baza_danych\nagrania\output\10\music\004.wav,fear,26,man,no,"(28, 55, 126)",music
10,G:\Baza_danych\nagrania\output\10\music\005.wav,sad,26,man,no,"(130, 213, 228)",music
10,G:\Baza_danych\nagrania\output\11\speech\001.wav,neutral,36,female,no,"(107, 184, 52)",speech
10,G:\Baza_danych\nagrania\output\11\speech\002.wav,angry,36,female,no,"(238, 0, 18)",speech
10,G:\Baza_danych\nagrania\output\11\speech\003.wav,fear,36,female,no,"(118, 118, 118)",speech
10,G:\Baza_danych\nagrania\output\11\speech\004.wav,neutral,36,female,no,"(107, 184, 52)",speech
